norad_id,nome,tipo_objeto,pais,tamanho_rcs,periodo_min,inclinacao,apogeu_km,perigeu_km,altitude_km,velocidade_kms,risco_colisao,eh_detrito,idade_anos,data_lancamento,data_decaimento,alerta_ativo
1142,COSMOS 57 DEB,DEBRIS,,,90.27,64.81,426,149,294.85,7.733,13.0,1,,,,1
1143,COSMOS 57 DEB,DEBRIS,,,91.64,64.62,579,132,362.13,7.694,13.0,1,,,,1
1144,COSMOS 57 DEB,DEBRIS,,,90.48,64.70,454,142,305.19,7.727,13.0,1,,,,1
1145,COSMOS 57 DEB,DEBRIS,,,90.28,64.71,412,164,295.35,7.733,13.0,1,,,,1
1146,COSMOS 57 DEB,DEBRIS,,,90.43,64.95,445,146,302.73,7.728,13.0,1,,,,1
1147,COSMOS 57 DEB,DEBRIS,,,91.01,64.67,478,170,331.23,7.712,13.0,1,,,,1
1150,COSMOS 57 DEB,DEBRIS,,,89.79,65.05,382,146,271.2,7.747,13.0,1,,,,1
1152,COSMOS 57 DEB,DEBRIS,,,90.76,64.67,473,151,318.95,7.719,13.0,1,,,,1
1153,COSMOS 57 DEB,DEBRIS,,,90.32,64.89,415,165,297.32,7.731,13.0,1,,,,1
1154,COSMOS 57 DEB,DEBRIS,,,90.75,64.81,469,153,318.46,7.719,13.0,1,,,,1
1155,COSMOS 57 DEB,DEBRIS,,,89.86,64.84,382,153,274.65,7.745,13.0,1,,,,1
1156,COSMOS 57 DEB,DEBRIS,,,91.11,64.66,487,171,336.14,7.709,13.0,1,,,,1
1157,COSMOS 57 DEB,DEBRIS,,,90.20,64.68,379,189,291.41,7.735,13.0,1,,,,1
1158,COSMOS 57 DEB,DEBRIS,,,89.18,64.85,315,153,241.09,7.764,13.0,1,,,,1
1159,COSMOS 57 DEB,DEBRIS,,,90.39,64.42,444,143,300.76,7.729,13.0,1,,,,1
1162,COSMOS 57 DEB,DEBRIS,,,92.31,64.67,621,154,394.91,7.675,13.0,1,,,,1
1164,COSMOS 57 DEB,DEBRIS,,,89.35,64.69,298,186,249.49,7.759,13.0,1,,,,1
1165,COSMOS 57 DEB,DEBRIS,,,89.36,64.94,302,184,249.98,7.759,13.0,1,,,,1
1166,COSMOS 57 DEB,DEBRIS,,,88.90,64.59,291,149,227.24,7.772,13.0,1,,,,1
1167,COSMOS 57 DEB,DEBRIS,,,91.14,64.74,493,168,337.61,7.708,13.0,1,,,,1
1168,COSMOS 57 DEB,DEBRIS,,,89.34,64.61,370,113,248.99,7.76,13.0,1,,,,1
1170,COSMOS 57 DEB,DEBRIS,,,88.64,65.15,279,135,214.37,7.78,13.0,1,,,,1
1173,COSMOS 57 DEB,DEBRIS,,,88.38,64.93,236,153,201.48,7.788,13.0,1,,,,1
1174,COSMOS 57 DEB,DEBRIS,,,90.68,64.78,452,163,315.02,7.721,13.0,1,,,,1
1177,COSMOS 57 DEB,DEBRIS,,,91.11,64.80,492,166,336.14,7.709,13.0,1,,,,1
1179,COSMOS 57 DEB,DEBRIS,,,91.32,64.77,501,177,346.44,7.703,13.0,1,,,,1
1181,COSMOS 57 DEB,DEBRIS,,,89.53,64.75,348,154,258.37,7.754,13.0,1,,,,1
1182,COSMOS 57 DEB,DEBRIS,,,91.67,64.57,514,199,363.6,7.693,13.0,1,,,,1
1183,COSMOS 57 DEB,DEBRIS,,,88.67,64.68,279,139,215.85,7.779,13.0,1,,,,1
1184,COSMOS 57 DEB,DEBRIS,,,89.01,64.87,295,156,232.68,7.769,13.0,1,,,,1
1185,COSMOS 57 DEB,DEBRIS,,,89.56,64.79,345,161,259.86,7.753,13.0,1,,,,1
1187,COSMOS 57 DEB,DEBRIS,,,89.20,64.60,332,137,242.07,7.764,13.0,1,,,,1
1188,COSMOS 57 DEB,DEBRIS,,,89.56,64.81,368,137,259.86,7.753,13.0,1,,,,1
1190,COSMOS 57 DEB,DEBRIS,,,89.94,63.86,423,120,278.6,7.742,13.0,1,,,,1
1191,COSMOS 59,PAYLOAD,,,89.79,64.98,323,206,271.2,7.747,9.0,0,,,,0
1192,SL-3 R/B,ROCKET BODY,,,88.75,65.00,239,186,219.81,7.777,9.0,0,,,,0
1193,OPS 4782 DEB,DEBRIS,,,88.92,75.06,275,167,228.23,7.772,13.0,1,,,,1
1194,COSMOS 57 DEB,DEBRIS,,,90.43,64.70,405,186,302.73,7.728,13.0,1,,,,1
1195,COSMOS 57 DEB,DEBRIS,,,90.25,64.77,400,173,293.87,7.733,13.0,1,,,,1
1196,COSMOS 57 DEB,DEBRIS,,,91.20,64.77,491,175,340.56,7.706,13.0,1,,,,1
1197,COSMOS 57 DEB,DEBRIS,,,90.52,64.81,465,135,307.16,7.726,13.0,1,,,,1
1198,COSMOS 57 DEB,DEBRIS,,,89.75,64.64,387,137,269.23,7.748,13.0,1,,,,1
1199,COSMOS 57 DEB,DEBRIS,,,91.36,64.70,508,174,348.41,7.702,13.0,1,,,,1
1202,COSMOS 57 DEB,DEBRIS,,,90.24,64.77,411,161,293.38,7.734,13.0,1,,,,1
1203,COSMOS 57 DEB,DEBRIS,,,89.23,64.78,325,148,243.56,7.763,13.0,1,,,,1
1204,COSMOS 57 DEB,DEBRIS,,,89.76,64.64,367,158,269.72,7.747,13.0,1,,,,1
1205,COSMOS 57 DEB,DEBRIS,,,90.48,64.64,478,118,305.19,7.727,13.0,1,,,,1
1206,COSMOS 57 DEB,DEBRIS,,,90.03,64.73,394,158,283.03,7.74,13.0,1,,,,1
1208,SECOR 3,PAYLOAD,,MEDIUM,103.15,70.08,920,895,914.73,7.397,1.5,0,,,,0
1209,COSMOS 57 DEB,DEBRIS,,,91.40,65.28,449,238,350.37,7.701,13.0,1,,,,1
1210,COSMOS 57 DEB,DEBRIS,,,90.94,64.75,473,168,327.8,7.714,13.0,1,,,,1
1211,COSMOS 57 DEB,DEBRIS,,,91.02,64.88,486,163,331.72,7.712,13.0,1,,,,1
1213,COSMOS 57 DEB,DEBRIS,,,90.10,65.04,412,147,286.48,7.738,13.0,1,,,,1
1214,COSMOS 57 DEB,DEBRIS,,,90.09,64.83,394,164,285.99,7.738,13.0,1,,,,1
1215,COSMOS 57 DEB,DEBRIS,,,90.25,64.79,409,164,293.87,7.733,13.0,1,,,,1
1216,COSMOS 57 DEB,DEBRIS,,,89.95,64.75,391,154,279.09,7.742,13.0,1,,,,1
1217,COSMOS 57 DEB,DEBRIS,,,91.40,64.76,504,182,350.37,7.701,13.0,1,,,,1
1219,COSMOS 57 DEB,DEBRIS,,,89.85,64.85,379,155,274.16,7.745,13.0,1,,,,1
1220,COSMOS 57 DEB,DEBRIS,,,89.78,64.82,373,154,270.71,7.747,13.0,1,,,,1
1222,COSMOS 57 DEB,DEBRIS,,,90.69,64.38,396,221,315.51,7.721,13.0,1,,,,1
1223,COSMOS 57 DEB,DEBRIS,,,92.72,64.63,678,138,414.93,7.664,13.0,1,,,,1
1225,COSMOS 57 DEB,DEBRIS,,,89.76,64.70,362,163,269.72,7.747,13.0,1,,,,1
1226,COSMOS 57 DEB,DEBRIS,,,89.36,64.83,315,171,249.98,7.759,13.0,1,,,,1
1228,THOR ABLESTAR R/B,ROCKET BODY,,,88.10,89.97,192,169,187.59,7.796,9.0,0,,,,0
1229,COSMOS 57 DEB,DEBRIS,,,91.24,64.77,512,159,342.52,7.705,13.0,1,,,,1
1232,COSMOS 57 DEB,DEBRIS,,,91.01,64.93,483,165,331.23,7.712,13.0,1,,,,1
1234,COSMOS 57 DEB,DEBRIS,,,92.03,64.71,568,180,381.22,7.683,13.0,1,,,,1
1235,COSMOS 57 DEB,DEBRIS,,,91.01,64.71,505,143,331.23,7.712,13.0,1,,,,1
1239,COSMOS 57 DEB,DEBRIS,,,92.46,64.68,613,177,402.23,7.671,13.0,1,,,,1
1241,COSMOS 57 DEB,DEBRIS,,,91.78,64.81,544,179,368.98,7.69,13.0,1,,,,1
1242,COSMOS 57 DEB,DEBRIS,,,91.70,64.77,564,152,365.07,7.692,13.0,1,,,,1
1244,GGSE 2,PAYLOAD,,MEDIUM,103.14,70.08,921,894,914.26,7.397,1.5,0,,,,0
1245,THOR AGENA D R/B,ROCKET BODY,,LARGE,103.03,70.08,916,888,909.08,7.399,1.5,0,,,,0
1246,COSMOS 60,PAYLOAD,,,88.91,64.72,247,194,227.73,7.772,9.0,0,,,,0
1247,OPS 4920,PAYLOAD,,,88.83,107.63,286,147,223.77,7.774,9.0,0,,,,0
1248,THOR ABLESTAR DEB,DEBRIS,,,89.21,90.02,260,211,242.57,7.763,13.0,1,,,,1
1250,SECOR 2 (EGRS 2),PAYLOAD,,,88.17,89.91,191,177,191.07,7.794,9.0,0,,,,0
1251,THOR ABLESTAR DEB,DEBRIS,,,89.38,89.97,281,207,250.97,7.758,13.0,1,,,,1
1252,SL-6 R/B,ROCKET BODY,,,88.46,64.74,207,190,205.45,7.785,9.0,0,,,,0
1253,SL-6 DEB,DEBRIS,,,88.57,64.75,230,178,210.9,7.782,13.0,1,,,,1
